* FASER$\nu$2 inclusive $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 inclusive $\nu_{\mu}$'
   IndexDataset = 137
   Reaction = 'CC nup'

   NData = 44
   NColumn = 8
   ColumnType = 'Flag',2*'Bin','Sigma',4*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor const','uncor const','uncor const'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/grids-FASERv2_inclusive_nu-a1/nu_A_1-FASERv2_inclusive-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 4*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 inclusive #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag                  x                      Q2                   Sigma                    stat             uncor const             uncor const             uncor const
  1               0.1289536                226.6702      0.0691271208799971       0.702345441441904              0.02481615                 3.69527                1.373075
  1               0.1745949                62.02153      0.0551882292568144       0.664583744639766                0.019309                 7.42165                  5.6587
  1               0.1767095                254.9639      0.0416982273032287       0.574378300341193              0.02576695                 6.25255                 2.10633
  1               0.1819365                1208.582      0.0343991798073514        5.68205577556498               0.2754235                  6.1483                 13.3644
  1               0.2383653                69.80233      0.0276979487996412       0.762525634458294              0.04014395                  9.8829                 6.77455
  1               0.2416255                285.5438      0.0234039938518878       0.516720912287634              0.01786925                  8.5152                 2.61959
  1               0.2471371                1289.417       0.016698873006452        3.15041625973655               0.0998425                  7.3936                  6.5318
  1               0.3229395                79.04606      0.0188803059895745        1.04278579839628              0.03299965                11.56875                   8.902
  1               0.3296129                  311.54      0.0130035840629739       0.514248094233433               0.0340595                 9.42025                 3.17759
  1                0.334587                 1387.07     0.00863000657716242        2.21586657979125               0.0849045                 6.89865                1.744885
  1               0.4252641                89.69235     0.00752786491942782        2.07340882417426               0.1330865                 9.11445                10.52225
  1               0.4446078                335.3228      0.0048056866948151       0.611873534265613               0.0194547                 4.46915                3.300695
  1               0.4505598                 1492.41       0.002895426142881        2.03326345224694               0.1474035                1.501395                3.768845
  1               0.5968726                363.5918     0.00113231833983826        1.04866239421368              0.04066915                27.46235                 7.02565
  1               0.6020635                1612.129    0.000702319889471294        2.79104918267763               0.1123595                35.60175                  5.6709
