* FASER$\nu$2 $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 151
   Reaction = 'CC nup'

   NData = 145
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','uncor'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2 #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat           uncor
  0         0.00012               7               0               0               0
  0         0.00012              55               0               0               0
  0         0.00012             550               0               0               0
  0         0.00012            5500               0               0               0
  0         0.00012           55000               0               0               0
  0        0.000165               7               0               0               0
  0        0.000165              55               0               0               0
  0        0.000165             550               0               0               0
  0        0.000165            5500               0               0               0
  0        0.000165           55000               0               0               0
  0        0.000225               7               0               0               0
  0        0.000225              55               0               0               0
  0        0.000225             550               0               0               0
  0        0.000225            5500               0               0               0
  0        0.000225           55000               0               0               0
  0         0.00031               7               0               0               0
  0         0.00031              55               0               0               0
  0         0.00031             550               0               0               0
  0         0.00031            5500               0               0               0
  0         0.00031           55000               0               0               0
  0        0.000425               7              -0            2000               6
  0        0.000425              55               0               0               0
  0        0.000425             550               0               0               0
  0        0.000425            5500               0               0               0
  0        0.000425           55000               0               0               0
  0         0.00058               7               0         297.759         3.27157
  0         0.00058              55               0               0               0
  0         0.00058             550               0               0               0
  0         0.00058            5500               0               0               0
  0         0.00058           55000               0               0               0
  0        0.000795               7               0         103.068         2.45708
  0        0.000795              55               0               0               0
  0        0.000795             550               0               0               0
  0        0.000795            5500               0               0               0
  0        0.000795           55000               0               0               0
  1        0.001095               7         8.39206         43.1398        0.786663
  0        0.001095              55               0         898.389         4.19693
  0        0.001095             550               0               0               0
  0        0.001095            5500               0               0               0
  0        0.001095           55000               0               0               0
  1        0.001505               7         3.65974         22.6121         1.43601
  0        0.001505              55               0         152.175         3.04981
  0        0.001505             550               0               0               0
  0        0.001505            5500               0               0               0
  0        0.001505           55000               0               0               0
  1         0.00207               7          4.1607         15.1773         1.20909
  0         0.00207              55               0          56.702           1.813
  0         0.00207             550               0               0               0
  0         0.00207            5500               0               0               0
  0         0.00207           55000               0               0               0
  1        0.002845               7         2.96983         9.84629         1.72046
  1        0.002845              55         3.68908         24.3621         1.58468
  0        0.002845             550               0               0               0
  0        0.002845            5500               0               0               0
  0        0.002845           55000               0               0               0
  1        0.003905               7         2.84412         6.63872         1.08599
  1        0.003905              55         2.45346         12.1483        0.952843
  0        0.003905             550               0               0               0
  0        0.003905            5500               0               0               0
  0        0.003905           55000               0               0               0
  1        0.005365               7         2.04109         5.43064         0.72079
  1        0.005365              55         1.87781         7.76282         1.10847
  0        0.005365             550               0               0               0
  0        0.005365            5500               0               0               0
  0        0.005365           55000               0               0               0
  1         0.00737               7         1.54765         4.51521         1.48859
  1         0.00737              55          1.3138          5.1261         1.02289
  0         0.00737             550               0               0               0
  0         0.00737            5500               0               0               0
  0         0.00737           55000               0               0               0
  1        0.010125               7         1.11838         3.54294        0.683382
  1        0.010125              55         1.02545         3.32207        0.781907
  0        0.010125             550               0         503.346         4.38308
  0        0.010125            5500               0               0               0
  0        0.010125           55000               0               0               0
  1         0.01391               7         0.84235         3.16116         1.78999
  1         0.01391              55        0.809632          2.5649         1.29081
  0         0.01391             550               0         73.4134          1.1733
  0         0.01391            5500               0               0               0
  0         0.01391           55000               0               0               0
  1         0.01911               7        0.619406         3.11542         2.50541
  1         0.01911              55        0.632092         2.18515         1.10776
  1         0.01911             550        0.588346         23.3381         1.48096
  0         0.01911            5500               0               0               0
  0         0.01911           55000               0               0               0
  1        0.026255               7        0.457969         2.62959         2.76746
  1        0.026255              55        0.459377         1.60045         1.12209
  1        0.026255             550         0.27994         9.43709        0.556136
  0        0.026255            5500               0               0               0
  0        0.026255           55000               0               0               0
  1         0.03607               7        0.343127         2.39483         1.82499
  1         0.03607              55        0.343361         1.31325         1.13731
  1         0.03607             550        0.232165         4.96631        0.909967
  0         0.03607            5500               0               0               0
  0         0.03607           55000               0               0               0
  1        0.049555               7        0.241218         2.49055         4.23654
  1        0.049555              55        0.246436         1.25167          0.7883
  1        0.049555             550        0.150497         3.31528        0.627616
  0        0.049555            5500               0               0               0
  0        0.049555           55000               0               0               0
  1         0.06808               7         0.16941         2.18834          5.1961
  1         0.06808              55        0.171087         1.02995        0.819071
  1         0.06808             550        0.109854         2.01201        0.947897
  0         0.06808            5500               0               0               0
  0         0.06808           55000               0               0               0
  1         0.09353               7        0.127784         2.05914          8.8402
  1         0.09353              55         0.11604        0.902283        0.960671
  1         0.09353             550       0.0720562         1.38292        0.336684
  0         0.09353            5500               0         600.842         4.65704
  0         0.09353           55000               0               0               0
  1          0.1285               7        0.075552         2.18486         9.96411
  1          0.1285              55       0.0770053        0.936512         1.13585
  1          0.1285             550       0.0455729         1.19902        0.452944
  0          0.1285            5500               0         53.1791        0.951344
  0          0.1285           55000               0               0               0
  1         0.17654               7       0.0662065         2.24679         17.2106
  1         0.17654              55       0.0491264        0.864486         1.06893
  1         0.17654             550       0.0289848        0.934185        0.675037
  1         0.17654            5500       0.0160515         13.5295        0.866002
  0         0.17654           55000               0               0               0
  1         0.24253               7       0.0424458         2.21144         21.5884
  1         0.24253              55        0.029089        0.800283         1.38134
  1         0.24253             550       0.0171577        0.754511        0.364321
  1         0.24253            5500      0.00965528         5.70323        0.578518
  0         0.24253           55000               0               0               0
  1         0.33319               7       0.0205765         2.41446         13.7668
  1         0.33319              55       0.0145703        0.905461         1.98901
  1         0.33319             550      0.00843141        0.777826        0.355729
  1         0.33319            5500      0.00412015         3.80124        0.516879
  0         0.33319           55000               0               0               0
  1        0.457745               7      0.00813119         3.02726         24.9339
  1        0.457745              55      0.00552474         1.01958         2.98916
  1        0.457745             550      0.00306357        0.799228        0.501882
  1        0.457745            5500      0.00119262         2.60728        0.531433
  0        0.457745           55000               0               0               0
  1        0.628865               7      0.00235041         3.49522         13.6227
  1        0.628865              55      0.00110859        0.971167         3.49943
  1        0.628865             550     0.000608241         0.71389        0.784667
  1        0.628865            5500     0.000173806         1.72887        0.485032
  0        0.628865           55000               0               0               0
  1         0.86395               7     0.000212822         4.46722         41.9596
  1         0.86395              55     0.000128593         1.24657           2.704
  1         0.86395             550     6.89819e-05        0.876466        0.716648
  1         0.86395            5500     1.61184e-05         1.66897        0.674674
  0         0.86395           55000               0               0               0
