* FASER$\nu$2_optimistic $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 optimistic $\nu_{\mu}$'
   IndexDataset = 143
   Reaction = 'CC nup'

   NData = 145
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/nu_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat
  0         0.00012               7               0               0
  0         0.00012              55               0               0
  0         0.00012             550               0               0
  0         0.00012            5500               0               0
  0         0.00012           55000               0               0
  0        0.000165               7               0               0
  0        0.000165              55               0               0
  0        0.000165             550               0               0
  0        0.000165            5500               0               0
  0        0.000165           55000               0               0
  0        0.000225               7               0               0
  0        0.000225              55               0               0
  0        0.000225             550               0               0
  0        0.000225            5500               0               0
  0        0.000225           55000               0               0
  0         0.00031               7               0               0
  0         0.00031              55               0               0
  0         0.00031             550               0               0
  0         0.00031            5500               0               0
  0         0.00031           55000               0               0
  0        0.000425               7              -0         2179.52
  0        0.000425              55               0               0
  0        0.000425             550               0               0
  0        0.000425            5500               0               0
  0        0.000425           55000               0               0
  0         0.00058               7               0         320.586
  0         0.00058              55               0               0
  0         0.00058             550               0               0
  0         0.00058            5500               0               0
  0         0.00058           55000               0               0
  0        0.000795               7               0         115.745
  0        0.000795              55               0               0
  0        0.000795             550               0               0
  0        0.000795            5500               0               0
  0        0.000795           55000               0               0
  0        0.001095               7               0         50.5754
  0        0.001095              55               0         989.618
  0        0.001095             550               0               0
  0        0.001095            5500               0               0
  0        0.001095           55000               0               0
  1        0.001505               7         1.72159         27.5704
  0        0.001505              55               0         163.092
  0        0.001505             550               0               0
  0        0.001505            5500               0               0
  0        0.001505           55000               0               0
  1         0.00207               7          2.1524         19.0343
  0         0.00207              55               0         63.2029
  0         0.00207             550               0               0
  0         0.00207            5500               0               0
  0         0.00207           55000               0               0
  1        0.002845               7         1.48965         12.7253
  1        0.002845              55         2.00062         28.3731
  0        0.002845             550               0               0
  0        0.002845            5500               0               0
  0        0.002845           55000               0               0
  1        0.003905               7         1.51263         8.85784
  1        0.003905              55         1.30891         14.8845
  0        0.003905             550               0               0
  0        0.003905            5500               0               0
  0        0.003905           55000               0               0
