* FASER$\nu$2_optimistic $\nu_{\mu}+\bar{\nu}_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$2 optimistic $\nu_{\mu}+\bar{\nu}_{\mu}$'
   IndexDataset = 145
   Reaction = 'CC nup'

   NData = 145
   NColumn = 6
   ColumnType = 'Flag',2*'Bin','Sigma',2*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat','syst:C'
   TheoryType = 'expression'
   TermType   = 'reaction','reaction'
   TermName   = 'P','A'
   TermSource = 'PineAPPL','PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_14/nu_A_1-XSFPFCC.pineappl.lz4',
                'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv2_m14/nub_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P+A'

   Percent = 2*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu2_optimistic #nu_{#mu}+#bar{#nu}_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat          syst:C
  0         0.00012               7               0               0               0
  0         0.00012              55               0               0               0
  0         0.00012             550               0               0               0
  0         0.00012            5500               0               0               0
  0         0.00012           55000               0               0               0
  0        0.000165               7               0               0               0
  0        0.000165              55               0               0               0
  0        0.000165             550               0               0               0
  0        0.000165            5500               0               0               0
  0        0.000165           55000               0               0               0
  0        0.000225               7               0               0               0
  0        0.000225              55               0               0               0
  0        0.000225             550               0               0               0
  0        0.000225            5500               0               0               0
  0        0.000225           55000               0               0               0
  0         0.00031               7               0               0               0
  0         0.00031              55               0               0               0
  0         0.00031             550               0               0               0
  0         0.00031            5500               0               0               0
  0         0.00031           55000               0               0               0
  0        0.000425               7              -0         2182.18         6.19048
  0        0.000425              55               0               0               0
  0        0.000425             550               0               0               0
  0        0.000425            5500               0               0               0
  0        0.000425           55000               0               0               0
  0         0.00058               7               0         319.536         3.08352
  0         0.00058              55               0               0               0
  0         0.00058             550               0               0               0
  0         0.00058            5500               0               0               0
  0         0.00058           55000               0               0               0
  0        0.000795               7               0         114.932         2.67621
  0        0.000795              55               0               0               0
  0        0.000795             550               0               0               0
  0        0.000795            5500               0               0               0
  0        0.000795           55000               0               0               0
  1        0.001095               7         16.5529         49.4511         1.57607
  0        0.001095              55               0         989.178          3.7182
  0        0.001095             550               0               0               0
  0        0.001095            5500               0               0               0
  0        0.001095           55000               0               0               0
  1        0.001505               7         6.24844         26.0473         1.72812
  0        0.001505              55               0         162.427         2.01826
  0        0.001505             550               0               0               0
  0        0.001505            5500               0               0               0
  0        0.001505           55000               0               0               0
  1         0.00207               7         7.22203         17.1862         1.26676
  0         0.00207              55               0         62.7214         2.21365
  0         0.00207             550               0               0               0
  0         0.00207            5500               0               0               0
  0         0.00207           55000               0               0               0
  1        0.002845               7         4.82795         10.9382         1.81646
  1        0.002845              55          6.1623         27.6106        0.891256
  0        0.002845             550               0               0               0
  0        0.002845            5500               0               0               0
  0        0.002845           55000               0               0               0
  1        0.003905               7         4.47163         7.43432         1.40283
  1        0.003905              55         3.77443          13.817         1.24896
  0        0.003905             550               0               0               0
  0        0.003905            5500               0               0               0
  0        0.003905           55000               0               0               0
  1        0.005365               7         3.00451         6.19616         2.24568
  1        0.005365              55         2.72429         8.51606         1.09583
  0        0.005365             550               0               0               0
  0        0.005365            5500               0               0               0
  0        0.005365           55000               0               0               0
  1         0.00737               7         2.13955         5.32302         2.08061
  1         0.00737              55         1.77847         5.21659         1.26842
  0         0.00737             550               0               0               0
  0         0.00737            5500               0               0               0
  0         0.00737           55000               0               0               0
  1        0.010125               7         1.43783          4.3553         2.67114
  1        0.010125              55          1.3038         3.10815        0.975601
  0        0.010125             550               0         555.213         3.60666
  0        0.010125            5500               0               0               0
  0        0.010125           55000               0               0               0
  1         0.01391               7         1.02757         4.00795          2.0577
  1         0.01391              55        0.963182         2.34031        0.908192
  0         0.01391             550               0         77.6347         1.54657
  0         0.01391            5500               0               0               0
  0         0.01391           55000               0               0               0
  1         0.01911               7        0.716272         4.03653          1.9766
  1         0.01911              55        0.707949         2.12385        0.959743
  1         0.01911             550        0.663605         25.3769         1.09607
  0         0.01911            5500               0               0               0
  0         0.01911           55000               0               0               0
  1        0.026255               7        0.504202         3.60565          1.6111
  1        0.026255              55        0.488944         1.69433         1.27824
  1        0.026255             550        0.283541          10.551        0.978537
  0        0.026255            5500               0               0               0
  0        0.026255           55000               0               0               0
  1         0.03607               7        0.362695         3.52467         2.25414
  1         0.03607              55        0.348734         1.50406         1.17053
  1         0.03607             550        0.225564         5.61651        0.854713
  0         0.03607            5500               0               0               0
  0         0.03607           55000               0               0               0
  1        0.049555               7        0.238688         3.96865          10.623
  1        0.049555              55        0.241219         1.50143         1.60912
  1        0.049555             550        0.137058          3.6924        0.709858
  0        0.049555            5500               0               0               0
  0        0.049555           55000               0               0               0
  0         0.06808               7               0         4.01845         14.7671
  1         0.06808              55        0.161585         1.26262         1.21609
  1         0.06808             550       0.0965281         2.21729         1.00903
  0         0.06808            5500               0               0               0
  0         0.06808           55000               0               0               0
  0         0.09353               7               0         4.55916         15.8193
  1         0.09353              55        0.108023         1.13729         1.26174
  1         0.09353             550       0.0614014         1.53853        0.561416
  0         0.09353            5500               0         648.068         3.23394
  0         0.09353           55000               0               0               0
  0          0.1285               7               0         6.65471         78.2524
  1          0.1285              55       0.0725198          1.2041        0.976564
  1          0.1285             550       0.0382781         1.35378        0.604509
  0          0.1285            5500               0         54.9012        0.852099
  0          0.1285           55000               0               0               0
  0         0.17654               7               0         17.5739         110.081
  1         0.17654              55       0.0470754         1.16813         2.16548
  1         0.17654             550       0.0245812         1.07527        0.527956
  1         0.17654            5500       0.0115837         14.1129        0.620645
  0         0.17654           55000               0               0               0
  0         0.24253               7               0         41.4384         282.843
  1         0.24253              55       0.0289215         1.13469         1.96246
  1         0.24253             550       0.0149473        0.866707        0.668949
  1         0.24253            5500      0.00664756         6.07898        0.334497
  0         0.24253           55000               0               0               0
  0         0.33319               7               0               0               0
  1         0.33319              55       0.0151088         1.36794         4.20898
  1         0.33319             550      0.00767754        0.889369        0.715727
  1         0.33319            5500      0.00270209         4.11366         0.18495
  0         0.33319           55000               0               0               0
  0        0.457745               7               0               0               0
  1        0.457745              55       0.0060446         1.61419         4.65102
  1        0.457745             550      0.00298148         0.90877        0.608214
  1        0.457745            5500       0.0007429         2.84452        0.443158
  0        0.457745           55000               0               0               0
  0        0.628865               7               0               0               0
  0        0.628865              55               0         1.70112         11.6242
  1        0.628865             550     0.000620479        0.811346        0.895464
  1        0.628865            5500      9.8693e-05         1.89582        0.513889
  0        0.628865           55000               0               0               0
  0         0.86395               7               0               0               0
  0         0.86395              55               0         2.24477         16.8364
  1         0.86395             550      2.9075e-05        0.992477          1.0503
  1         0.86395            5500      4.4159e-06          1.8031        0.657835
  0         0.86395           55000               0               0               0
