# x y Q2 xsec_nu xsec_nub
3.935272e-03 5.928692e-01 6.081005e+00 1.514695e+00 1.392466e+00
5.324393e-03 5.230323e-01 6.320213e+00 1.133449e+00 1.035671e+00
5.405420e-03 7.161361e-01 1.461899e+01 1.191187e+00 1.067087e+00
7.444461e-03 4.555115e-01 6.389342e+00 8.099780e-01 7.340481e-01
7.510304e-03 6.640555e-01 1.609740e+01 8.477469e-01 7.448945e-01
1.014015e-02 3.839523e-01 6.543772e+00 6.023296e-01 5.439408e-01
1.025460e-02 6.223310e-01 1.814438e+01 6.141657e-01 5.274561e-01
1.381909e-02 3.289062e-01 6.606062e+00 4.405801e-01 3.953034e-01
1.393747e-02 5.810472e-01 2.078733e+01 4.472119e-01 3.739740e-01
1.915475e-02 2.690745e-01 6.682306e+00 3.179821e-01 2.843631e-01
1.931022e-02 5.377670e-01 2.399234e+01 3.176945e-01 2.568653e-01
2.597082e-02 2.315699e-01 7.242345e+00 2.340457e-01 2.077025e-01
2.641185e-02 4.998283e-01 2.766618e+01 2.313592e-01 1.807400e-01
3.515140e-02 2.049035e-01 8.244005e+00 1.712224e-01 1.501660e-01
3.596804e-02 4.549665e-01 3.128496e+01 1.650757e-01 1.241647e-01
3.688162e-02 7.663226e-01 1.277661e+02 1.454625e-01 9.031368e-02
4.528909e-02 1.856691e-01 9.234138e+00 1.307428e-01 1.133462e-01
4.953341e-02 4.019661e-01 3.432917e+01 1.157292e-01 8.414300e-02
5.047735e-02 7.137480e-01 1.377755e+02 1.012333e-01 5.682996e-02
6.807687e-02 3.641023e-01 3.987690e+01 8.033053e-02 5.595344e-02
6.931387e-02 6.582063e-01 1.507552e+02 7.002033e-02 3.534609e-02
9.276769e-02 3.278274e-01 4.607623e+01 5.578381e-02 3.739933e-02
9.414237e-02 6.106460e-01 1.670854e+02 4.857705e-02 2.198695e-02
1.261998e-01 2.873855e-01 5.224437e+01 3.837270e-02 2.519922e-02
1.277039e-01 5.489619e-01 1.829653e+02 3.340196e-02 1.405553e-02
1.755480e-01 2.514960e-01 6.004148e+01 2.469744e-02 1.598844e-02
1.782626e-01 4.942654e-01 2.069532e+02 2.114619e-02 8.326458e-03
2.388061e-01 2.239291e-01 6.889379e+01 1.514499e-02 9.783680e-03
2.426368e-01 4.513672e-01 2.327826e+02 1.270746e-02 4.823959e-03
2.509029e-01 8.221615e-01 1.151899e+03 8.239225e-03 9.556221e-04
3.186757e-01 1.985434e-01 7.821687e+01 8.455070e-03 5.592959e-03
3.236770e-01 3.952698e-01 2.510213e+02 6.929844e-03 2.819133e-03
3.271223e-01 7.463866e-01 1.206758e+03 4.516921e-03 5.195285e-04
4.336261e-01 1.750290e-01 9.036352e+01 3.574598e-03 2.471706e-03
4.601935e-01 3.266578e-01 2.692594e+02 2.374563e-03 1.141973e-03
4.708345e-01 6.433138e-01 1.283197e+03 1.349615e-03 2.326286e-04
6.234470e-01 3.032576e-01 3.167925e+02 4.709133e-04 2.430241e-04
6.383483e-01 5.887704e-01 1.363604e+03 2.275621e-04 5.337631e-05
8.215352e-01 2.856102e-01 3.810759e+02 1.923623e-05 1.188584e-05
8.345917e-01 5.407579e-01 1.443893e+03 7.236435e-06 2.823823e-06
